epoch,accuracy,loss,val_accuracy,val_loss
0,0.7360000014305115,0.7235230803489685,0.800000011920929,0.39485540986061096
1,0.8399999737739563,0.3754500448703766,0.8987500071525574,0.25842124223709106
2,0.8769999742507935,0.33736205101013184,0.8962500095367432,0.27175700664520264
3,0.8999999761581421,0.26099464297294617,0.9037500023841858,0.2761821448802948
4,0.9089999794960022,0.22384008765220642,0.8987500071525574,0.29496511816978455
5,0.9259999990463257,0.20530836284160614,0.8687499761581421,0.3535056412220001
6,0.9419999718666077,0.13486608862876892,0.7900000214576721,0.9005288481712341
7,0.9459999799728394,0.1212526336312294,0.9125000238418579,0.3183663487434387
8,0.9459999799728394,0.13894689083099365,0.8899999856948853,0.39088061451911926
9,0.9639999866485596,0.08327335119247437,0.9049999713897705,0.3766877055168152
